### DETECTION RATE IS:       0.0
### NO. DET MALICIOUS USERS: 0
### NO. ALL MALICIOUS USERS: 270
### 
### FALSE POSITIVE RATE IS:           0.0
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             0
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 1841
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 129 - 0.355
4 - 84 - 0.58
5 - 49 - 0.755
6 - 6 - 0.97
7 - 1 - 0.995
8 - 0 - 1.0
9 - 1 - 0.995
10 - 6 - 0.97
11 - 0 - 1.0
12 - 2 - 0.99
13 - 0 - 1.0
14 - 17 - 0.915
15 - 14 - 0.93
16 - 10 - 0.95
17 - 0 - 1.0
18 - 5 - 0.975
19 - 0 - 1.0
20 - 3 - 0.985
21 - 28 - 0.86
22 - 5 - 0.975
23 - 6 - 0.97
24 - 2 - 0.99
25 - 0 - 1.0
26 - 1 - 0.995
27 - 0 - 1.0
28 - 0 - 1.0
29 - 0 - 1.0
30 - 19 - 0.905
31 - 0 - 1.0
32 - 0 - 1.0
33 - 4 - 0.98
34 - 0 - 1.0
35 - 18 - 0.91
36 - 0 - 1.0
37 - 3 - 0.985
38 - 12 - 0.94
39 - 6 - 0.97
40 - 0 - 1.0
41 - 6 - 0.97
42 - 10 - 0.95
43 - 1 - 0.995
44 - 3 - 0.985
45 - 2 - 0.99
46 - 2 - 0.99
47 - 0 - 1.0
48 - 0 - 1.0
49 - 0 - 1.0
50 - 5 - 0.975
51 - 0 - 1.0
52 - 0 - 1.0
53 - 4 - 0.98
54 - 1 - 0.995
55 - 1 - 0.995
56 - 26 - 0.87
57 - 9 - 0.955
58 - 30 - 0.85
59 - 72 - 0.64
60 - 63 - 0.685
61 - 55 - 0.725
62 - 63 - 0.685
63 - 47 - 0.765
64 - 44 - 0.78
65 - 58 - 0.71
66 - 57 - 0.715
67 - 54 - 0.73
68 - 65 - 0.675
69 - 68 - 0.66
70 - 75 - 0.625
71 - 81 - 0.595
72 - 83 - 0.585
73 - 85 - 0.575
74 - 47 - 0.765
75 - 33 - 0.835
76 - 38 - 0.81
77 - 28 - 0.86
78 - 18 - 0.91
79 - 28 - 0.86
80 - 53 - 0.735
81 - 64 - 0.68
82 - 59 - 0.705
83 - 41 - 0.795
84 - 50 - 0.75
85 - 69 - 0.655
86 - 66 - 0.67
87 - 67 - 0.665
88 - 58 - 0.71
89 - 68 - 0.66
90 - 52 - 0.74
91 - 46 - 0.77
92 - 58 - 0.71
93 - 71 - 0.645
94 - 82 - 0.59
95 - 79 - 0.605
96 - 57 - 0.715
97 - 50 - 0.75
98 - 59 - 0.705
99 - 55 - 0.725
100 - 70 - 0.65
101 - 62 - 0.69
102 - 53 - 0.735
103 - 49 - 0.755
104 - 23 - 0.885
105 - 43 - 0.785
106 - 60 - 0.7
107 - 53 - 0.735
108 - 63 - 0.685
109 - 54 - 0.73
110 - 54 - 0.73
111 - 49 - 0.755
112 - 66 - 0.67
113 - 75 - 0.625
114 - 61 - 0.695
115 - 49 - 0.755
116 - 61 - 0.695
117 - 54 - 0.73
118 - 52 - 0.74
119 - 66 - 0.67
120 - 65 - 0.675
121 - 36 - 0.82
122 - 24 - 0.88
123 - 49 - 0.755
124 - 50 - 0.75
125 - 51 - 0.745
126 - 46 - 0.77
127 - 39 - 0.805
128 - 56 - 0.72
129 - 41 - 0.795
130 - 34 - 0.83
131 - 42 - 0.79
132 - 45 - 0.775
133 - 40 - 0.8
134 - 57 - 0.715
135 - 59 - 0.705
136 - 56 - 0.72
137 - 76 - 0.62
138 - 83 - 0.585
139 - 64 - 0.68
140 - 48 - 0.76
141 - 28 - 0.86
142 - 25 - 0.875
143 - 53 - 0.735
144 - 52 - 0.74
145 - 54 - 0.73
146 - 52 - 0.74
147 - 59 - 0.705
148 - 62 - 0.69
149 - 61 - 0.695
150 - 55 - 0.725
151 - 29 - 0.855
152 - 30 - 0.85
153 - 39 - 0.805
154 - 29 - 0.855
155 - 22 - 0.89
156 - 58 - 0.71
157 - 70 - 0.65
158 - 69 - 0.655
159 - 53 - 0.735
160 - 46 - 0.77
161 - 38 - 0.81
162 - 47 - 0.765
163 - 61 - 0.695
164 - 57 - 0.715
165 - 41 - 0.795
166 - 37 - 0.815
167 - 23 - 0.885
168 - 42 - 0.79
169 - 59 - 0.705
170 - 72 - 0.64
171 - 54 - 0.73
172 - 63 - 0.685
173 - 83 - 0.585
174 - 84 - 0.58
175 - 87 - 0.565
176 - 77 - 0.615
177 - 80 - 0.6
178 - 60 - 0.7
179 - 48 - 0.76
180 - 70 - 0.65

### BENCHMARK FOR Booking.setCancel GLOBAL
### AVG GLOBAL:      2324472.4245283017
### MIN GLOBAL:      944167
### MAX GLOBAL:      36486129
### LEN GLOBAL:      1696
### AVG METHOD CALL: 345273.59139150946
### MIN METHOD CALL: 25934
### MAX METHOD CALL: 3731595
### LEN METHOD CALL: 1696
### AVG ASPECT:      9057.753537735849
### MIN ASPECT:      1742
### MAX ASPECT:      1262004
### LEN ASPECT:      1696
