### DETECTION RATE IS:       0.0
### NO. DET MALICIOUS USERS: 0
### NO. ALL MALICIOUS USERS: 278
### 
### FALSE POSITIVE RATE IS:           0.0
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             0
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 1936
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 121 - 0.395
4 - 71 - 0.645
5 - 45 - 0.775
6 - 12 - 0.94
7 - 0 - 1.0
8 - 0 - 1.0
9 - 2 - 0.99
10 - 4 - 0.98
11 - 0 - 1.0
12 - 2 - 0.99
13 - 7 - 0.965
14 - 18 - 0.91
15 - 9 - 0.955
16 - 0 - 1.0
17 - 0 - 1.0
18 - 8 - 0.96
19 - 19 - 0.905
20 - 20 - 0.9
21 - 18 - 0.91
22 - 3 - 0.985
23 - 17 - 0.915
24 - 23 - 0.885
25 - 15 - 0.925
26 - 0 - 1.0
27 - 5 - 0.975
28 - 15 - 0.925
29 - 13 - 0.935
30 - 6 - 0.97
31 - 0 - 1.0
32 - 27 - 0.865
33 - 30 - 0.85
34 - 10 - 0.95
35 - 3 - 0.985
36 - 4 - 0.98
37 - 1 - 0.995
38 - 3 - 0.985
39 - 20 - 0.9
40 - 25 - 0.875
41 - 18 - 0.91
42 - 7 - 0.965
43 - 2 - 0.99
44 - 6 - 0.97
45 - 2 - 0.99
46 - 3 - 0.985
47 - 2 - 0.99
48 - 0 - 1.0
49 - 19 - 0.905
50 - 0 - 1.0
51 - 0 - 1.0
52 - 23 - 0.885
53 - 19 - 0.905
54 - 0 - 1.0
55 - 1 - 0.995
56 - 5 - 0.975
57 - 1 - 0.995
58 - 17 - 0.915
59 - 19 - 0.905
60 - 26 - 0.87
61 - 13 - 0.935
62 - 16 - 0.92
63 - 22 - 0.89
64 - 29 - 0.855
65 - 38 - 0.81
66 - 17 - 0.915
67 - 1 - 0.995
68 - 2 - 0.99
69 - 14 - 0.93
70 - 13 - 0.935
71 - 0 - 1.0
72 - 12 - 0.94
73 - 4 - 0.98
74 - 0 - 1.0
75 - 7 - 0.965
76 - 16 - 0.92
77 - 31 - 0.845
78 - 12 - 0.94
79 - 20 - 0.9
80 - 30 - 0.85
81 - 28 - 0.86
82 - 31 - 0.845
83 - 30 - 0.85
84 - 16 - 0.92
85 - 18 - 0.91
86 - 34 - 0.83
87 - 20 - 0.9
88 - 20 - 0.9
89 - 31 - 0.845
90 - 25 - 0.875
91 - 38 - 0.81
92 - 33 - 0.835
93 - 53 - 0.735
94 - 21 - 0.895
95 - 0 - 1.0
96 - 6 - 0.97
97 - 4 - 0.98
98 - 11 - 0.945
99 - 16 - 0.92
100 - 9 - 0.955
101 - 9 - 0.955
102 - 0 - 1.0
103 - 0 - 1.0
104 - 3 - 0.985
105 - 13 - 0.935
106 - 24 - 0.88
107 - 14 - 0.93
108 - 7 - 0.965
109 - 39 - 0.805
110 - 5 - 0.975
111 - 4 - 0.98
112 - 20 - 0.9
113 - 15 - 0.925
114 - 22 - 0.89
115 - 34 - 0.83
116 - 28 - 0.86
117 - 16 - 0.92
118 - 10 - 0.95
119 - 5 - 0.975
120 - 0 - 1.0
121 - 2 - 0.99
122 - 20 - 0.9
123 - 29 - 0.855
124 - 27 - 0.865
125 - 3 - 0.985
126 - 3 - 0.985
127 - 3 - 0.985
128 - 5 - 0.975
129 - 2 - 0.99
130 - 0 - 1.0
131 - 22 - 0.89
132 - 34 - 0.83
133 - 54 - 0.73
134 - 31 - 0.845
135 - 38 - 0.81
136 - 43 - 0.785
137 - 32 - 0.84
138 - 28 - 0.86
139 - 21 - 0.895
140 - 5 - 0.975
141 - 16 - 0.92
142 - 5 - 0.975
143 - 15 - 0.925
144 - 21 - 0.895
145 - 20 - 0.9
146 - 38 - 0.81
147 - 49 - 0.755
148 - 43 - 0.785
149 - 28 - 0.86
150 - 19 - 0.905
151 - 18 - 0.91
152 - 1 - 0.995
153 - 8 - 0.96
154 - 18 - 0.91
155 - 3 - 0.985
156 - 17 - 0.915
157 - 1 - 0.995
158 - 3 - 0.985
159 - 24 - 0.88
160 - 50 - 0.75
161 - 39 - 0.805
162 - 17 - 0.915
163 - 19 - 0.905
164 - 34 - 0.83
165 - 40 - 0.8
166 - 24 - 0.88
167 - 28 - 0.86
168 - 24 - 0.88
169 - 32 - 0.84
170 - 18 - 0.91
171 - 8 - 0.96
172 - 10 - 0.95
173 - 3 - 0.985
174 - 27 - 0.865
175 - 26 - 0.87
176 - 48 - 0.76
177 - 34 - 0.83
178 - 14 - 0.93
179 - 3 - 0.985
180 - 5 - 0.975

### BENCHMARK FOR Booking.setCancel GLOBAL
### AVG GLOBAL:      1834472.8464114834
### MIN GLOBAL:      978896
### MAX GLOBAL:      15467099
### LEN GLOBAL:      2090
### AVG METHOD CALL: 276041.14162679424
### MIN METHOD CALL: 29621
### MAX METHOD CALL: 2235656
### LEN METHOD CALL: 2090
### AVG ASPECT:      5977.6143540669855
### MIN ASPECT:      1822
### MAX ASPECT:      87632
### LEN ASPECT:      2090
