### DETECTION RATE IS:       0.0
### NO. DET MALICIOUS USERS: 0
### NO. ALL MALICIOUS USERS: 272
### 
### FALSE POSITIVE RATE IS:           0.0
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             0
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 1827
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 129 - 0.355
4 - 82 - 0.59
5 - 43 - 0.785
6 - 12 - 0.94
7 - 9 - 0.955
8 - 17 - 0.915
9 - 25 - 0.875
10 - 37 - 0.815
11 - 32 - 0.84
12 - 23 - 0.885
13 - 30 - 0.85
14 - 29 - 0.855
15 - 46 - 0.77
16 - 43 - 0.785
17 - 44 - 0.78
18 - 54 - 0.73
19 - 58 - 0.71
20 - 71 - 0.645
21 - 47 - 0.765
22 - 37 - 0.815
23 - 28 - 0.86
24 - 36 - 0.82
25 - 33 - 0.835
26 - 27 - 0.865
27 - 41 - 0.795
28 - 53 - 0.735
29 - 56 - 0.72
30 - 44 - 0.78
31 - 31 - 0.845
32 - 16 - 0.92
33 - 24 - 0.88
34 - 32 - 0.84
35 - 31 - 0.845
36 - 22 - 0.89
37 - 31 - 0.845
38 - 28 - 0.86
39 - 19 - 0.905
40 - 39 - 0.805
41 - 26 - 0.87
42 - 42 - 0.79
43 - 38 - 0.81
44 - 36 - 0.82
45 - 35 - 0.825
46 - 40 - 0.8
47 - 34 - 0.83
48 - 34 - 0.83
49 - 33 - 0.835
50 - 38 - 0.81
51 - 38 - 0.81
52 - 46 - 0.77
53 - 36 - 0.82
54 - 30 - 0.85
55 - 50 - 0.75
56 - 46 - 0.77
57 - 43 - 0.785
58 - 33 - 0.835
59 - 40 - 0.8
60 - 55 - 0.725
61 - 48 - 0.76
62 - 48 - 0.76
63 - 52 - 0.74
64 - 53 - 0.735
65 - 37 - 0.815
66 - 47 - 0.765
67 - 47 - 0.765
68 - 43 - 0.785
69 - 45 - 0.775
70 - 32 - 0.84
71 - 35 - 0.825
72 - 40 - 0.8
73 - 32 - 0.84
74 - 30 - 0.85
75 - 63 - 0.685
76 - 71 - 0.645
77 - 53 - 0.735
78 - 41 - 0.795
79 - 52 - 0.74
80 - 54 - 0.73
81 - 51 - 0.745
82 - 50 - 0.75
83 - 59 - 0.705
84 - 61 - 0.695
85 - 52 - 0.74
86 - 32 - 0.84
87 - 35 - 0.825
88 - 29 - 0.855
89 - 37 - 0.815
90 - 54 - 0.73
91 - 42 - 0.79
92 - 52 - 0.74
93 - 53 - 0.735
94 - 55 - 0.725
95 - 48 - 0.76
96 - 45 - 0.775
97 - 30 - 0.85
98 - 41 - 0.795
99 - 39 - 0.805
100 - 49 - 0.755
101 - 41 - 0.795
102 - 39 - 0.805
103 - 26 - 0.87
104 - 28 - 0.86
105 - 47 - 0.765
106 - 40 - 0.8
107 - 40 - 0.8
108 - 29 - 0.855
109 - 46 - 0.77
110 - 55 - 0.725
111 - 60 - 0.7
112 - 43 - 0.785
113 - 49 - 0.755
114 - 60 - 0.7
115 - 43 - 0.785
116 - 51 - 0.745
117 - 44 - 0.78
118 - 54 - 0.73
119 - 56 - 0.72
120 - 43 - 0.785
121 - 47 - 0.765
122 - 53 - 0.735
123 - 55 - 0.725
124 - 45 - 0.775
125 - 39 - 0.805
126 - 35 - 0.825
127 - 42 - 0.79
128 - 45 - 0.775
129 - 38 - 0.81
130 - 44 - 0.78
131 - 60 - 0.7
132 - 73 - 0.635
133 - 52 - 0.74
134 - 53 - 0.735
135 - 54 - 0.73
136 - 40 - 0.8
137 - 45 - 0.775
138 - 45 - 0.775
139 - 49 - 0.755
140 - 70 - 0.65
141 - 51 - 0.745
142 - 60 - 0.7
143 - 51 - 0.745
144 - 38 - 0.81
145 - 47 - 0.765
146 - 66 - 0.67
147 - 70 - 0.65
148 - 70 - 0.65
149 - 46 - 0.77
150 - 51 - 0.745
151 - 43 - 0.785
152 - 45 - 0.775
153 - 50 - 0.75
154 - 34 - 0.83
155 - 42 - 0.79
156 - 46 - 0.77
157 - 44 - 0.78
158 - 41 - 0.795
159 - 25 - 0.875
160 - 39 - 0.805
161 - 46 - 0.77
162 - 59 - 0.705
163 - 47 - 0.765
164 - 46 - 0.77
165 - 50 - 0.75
166 - 68 - 0.66
167 - 76 - 0.62
168 - 66 - 0.67
169 - 57 - 0.715
170 - 50 - 0.75
171 - 49 - 0.755
172 - 65 - 0.675
173 - 58 - 0.71
174 - 54 - 0.73
175 - 43 - 0.785
176 - 53 - 0.735
177 - 40 - 0.8
178 - 34 - 0.83
179 - 54 - 0.73
180 - 45 - 0.775
