### DETECTION RATE IS:       0.033088237
### NO. DET MALICIOUS USERS: 9
### NO. ALL MALICIOUS USERS: 272
### 
### FALSE POSITIVE RATE IS:           0.001072386
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             2
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 1865
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 129 - 0.355
4 - 82 - 0.59
5 - 43 - 0.785
6 - 12 - 0.94
7 - 9 - 0.955
8 - 17 - 0.915
9 - 25 - 0.875
10 - 37 - 0.815
11 - 32 - 0.84
12 - 23 - 0.885
13 - 30 - 0.85
14 - 29 - 0.855
15 - 46 - 0.77
16 - 43 - 0.785
17 - 44 - 0.78
18 - 54 - 0.73
19 - 58 - 0.71
20 - 71 - 0.645
21 - 47 - 0.765
22 - 37 - 0.815
23 - 28 - 0.86
24 - 36 - 0.82
25 - 33 - 0.835
26 - 27 - 0.865
27 - 41 - 0.795
28 - 53 - 0.735
29 - 56 - 0.72
30 - 44 - 0.78
31 - 31 - 0.845
32 - 16 - 0.92
33 - 24 - 0.88
34 - 32 - 0.84
35 - 31 - 0.845
36 - 22 - 0.89
37 - 34 - 0.83
38 - 30 - 0.85
39 - 22 - 0.89
40 - 38 - 0.81
41 - 28 - 0.86
42 - 47 - 0.765
43 - 44 - 0.78
44 - 46 - 0.77
45 - 33 - 0.835
46 - 29 - 0.855
47 - 37 - 0.815
48 - 46 - 0.77
49 - 38 - 0.81
50 - 36 - 0.82
51 - 33 - 0.835
52 - 35 - 0.825
53 - 31 - 0.845
54 - 41 - 0.795
55 - 50 - 0.75
56 - 40 - 0.8
57 - 30 - 0.85
58 - 29 - 0.855
59 - 40 - 0.8
60 - 59 - 0.705
61 - 53 - 0.735
62 - 43 - 0.785
63 - 49 - 0.755
64 - 48 - 0.76
65 - 39 - 0.805
66 - 33 - 0.835
67 - 40 - 0.8
68 - 58 - 0.71
69 - 41 - 0.795
70 - 37 - 0.815
71 - 54 - 0.73
72 - 35 - 0.825
73 - 26 - 0.87
74 - 25 - 0.875
75 - 27 - 0.865
76 - 31 - 0.845
77 - 31 - 0.845
78 - 42 - 0.79
79 - 33 - 0.835
80 - 33 - 0.835
81 - 41 - 0.795
82 - 48 - 0.76
83 - 51 - 0.745
84 - 38 - 0.81
85 - 44 - 0.78
86 - 53 - 0.735
87 - 37 - 0.815
88 - 29 - 0.855
89 - 48 - 0.76
90 - 34 - 0.83
91 - 38 - 0.81
92 - 37 - 0.815
93 - 37 - 0.815
94 - 31 - 0.845
95 - 33 - 0.835
96 - 32 - 0.84
97 - 43 - 0.785
98 - 69 - 0.655
99 - 46 - 0.77
100 - 53 - 0.735
101 - 51 - 0.745
102 - 43 - 0.785
103 - 30 - 0.85
104 - 26 - 0.87
105 - 42 - 0.79
106 - 44 - 0.78
107 - 42 - 0.79
108 - 34 - 0.83
109 - 42 - 0.79
110 - 31 - 0.845
111 - 37 - 0.815
112 - 56 - 0.72
113 - 51 - 0.745
114 - 64 - 0.68
115 - 51 - 0.745
116 - 49 - 0.755
117 - 42 - 0.79
118 - 33 - 0.835
119 - 49 - 0.755
120 - 63 - 0.685
121 - 58 - 0.71
122 - 44 - 0.78
123 - 57 - 0.715
124 - 48 - 0.76
125 - 46 - 0.77
126 - 51 - 0.745
127 - 56 - 0.72
128 - 42 - 0.79
129 - 40 - 0.8
130 - 54 - 0.73
131 - 51 - 0.745
132 - 54 - 0.73
133 - 48 - 0.76
134 - 47 - 0.765
135 - 48 - 0.76
136 - 42 - 0.79
137 - 33 - 0.835
138 - 36 - 0.82
139 - 41 - 0.795
140 - 50 - 0.75
141 - 39 - 0.805
142 - 35 - 0.825
143 - 54 - 0.73
144 - 51 - 0.745
145 - 46 - 0.77
146 - 57 - 0.715
147 - 54 - 0.73
148 - 60 - 0.7
149 - 52 - 0.74
150 - 44 - 0.78
151 - 45 - 0.775
152 - 48 - 0.76
153 - 44 - 0.78
154 - 33 - 0.835
155 - 30 - 0.85
156 - 34 - 0.83
157 - 43 - 0.785
158 - 58 - 0.71
159 - 71 - 0.645
160 - 73 - 0.635
161 - 48 - 0.76
162 - 41 - 0.795
163 - 47 - 0.765
164 - 48 - 0.76
165 - 48 - 0.76
166 - 56 - 0.72
167 - 46 - 0.77
168 - 37 - 0.815
169 - 38 - 0.81
170 - 46 - 0.77
171 - 54 - 0.73
172 - 52 - 0.74
173 - 53 - 0.735
174 - 62 - 0.69
175 - 70 - 0.65
176 - 45 - 0.775
177 - 41 - 0.795
178 - 39 - 0.805
179 - 17 - 0.915
180 - 31 - 0.845
