### DETECTION RATE IS:       0.0
### NO. DET MALICIOUS USERS: 0
### NO. ALL MALICIOUS USERS: 287
### 
### FALSE POSITIVE RATE IS:           0.0
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             0
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 2401
###
DAY - AV ROOMS - OCCUPANCY %
1 - 10000 - 0.0
2 - 9990 - 0.001
3 - 9928 - 0.0072
4 - 9884 - 0.0116
5 - 9821 - 0.0179
6 - 9752 - 0.0248
7 - 9657 - 0.0343
8 - 9608 - 0.0392
9 - 9560 - 0.044
10 - 9488 - 0.0512
11 - 9403 - 0.0597
12 - 9348 - 0.0652
13 - 9324 - 0.0676
14 - 9303 - 0.0697
15 - 9262 - 0.0738
16 - 9224 - 0.0776
17 - 9183 - 0.0817
18 - 9156 - 0.0844
19 - 9078 - 0.0922
20 - 9018 - 0.0982
21 - 8989 - 0.1011
22 - 8947 - 0.1053
23 - 8971 - 0.1029
24 - 8941 - 0.1059
25 - 8930 - 0.107
26 - 8951 - 0.1049
27 - 8947 - 0.1053
28 - 8933 - 0.1067
29 - 8884 - 0.1116
30 - 8856 - 0.1144
31 - 8847 - 0.1153
32 - 8847 - 0.1153
33 - 8802 - 0.1198
34 - 8808 - 0.1192
35 - 8847 - 0.1153
36 - 8831 - 0.1169
37 - 8811 - 0.1189
38 - 8865 - 0.1135
39 - 8880 - 0.112
40 - 8893 - 0.1107
41 - 8849 - 0.1151
42 - 8891 - 0.1109
43 - 8927 - 0.1073
44 - 8905 - 0.1095
45 - 8926 - 0.1074
46 - 8849 - 0.1151
47 - 8838 - 0.1162
48 - 8848 - 0.1152
49 - 8813 - 0.1187
50 - 8852 - 0.1148
51 - 8863 - 0.1137
52 - 8791 - 0.1209
53 - 8797 - 0.1203
54 - 8780 - 0.122
55 - 8768 - 0.1232
56 - 8789 - 0.1211
57 - 8757 - 0.1243
58 - 8782 - 0.1218
59 - 8843 - 0.1157
60 - 8871 - 0.1129
