### DETECTION RATE IS:       NaN
### NO. DET MALICIOUS USERS: 0
### NO. ALL MALICIOUS USERS: 0
### 
### FALSE POSITIVE RATE IS:           0.0
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             0
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 2570
###
DAY - AV ROOMS - OCCUPANCY %
1 - 1000 - 0.0
2 - 990 - 0.01
3 - 928 - 0.072
4 - 884 - 0.116
5 - 821 - 0.179
6 - 752 - 0.248
7 - 657 - 0.343
8 - 608 - 0.392
9 - 560 - 0.44
10 - 488 - 0.512
11 - 403 - 0.597
12 - 348 - 0.652
13 - 324 - 0.676
14 - 303 - 0.697
15 - 262 - 0.738
16 - 224 - 0.776
17 - 183 - 0.817
18 - 156 - 0.844
19 - 78 - 0.922
20 - 27 - 0.973
21 - 18 - 0.982
22 - 0 - 1.0
23 - 28 - 0.972
24 - 2 - 0.998
25 - 1 - 0.999
26 - 14 - 0.986
27 - 8 - 0.992
28 - 30 - 0.97
29 - 3 - 0.997
30 - 0 - 1.0
31 - 0 - 1.0
32 - 4 - 0.996
33 - 3 - 0.997
34 - 9 - 0.991
35 - 31 - 0.969
36 - 1 - 0.999
37 - 1 - 0.999
38 - 1 - 0.999
39 - 19 - 0.981
40 - 0 - 1.0
41 - 2 - 0.998
42 - 18 - 0.982
43 - 26 - 0.974
44 - 30 - 0.97
45 - 22 - 0.978
46 - 2 - 0.998
47 - 17 - 0.983
48 - 54 - 0.946
49 - 6 - 0.994
50 - 20 - 0.98
51 - 0 - 1.0
52 - 42 - 0.958
53 - 18 - 0.982
54 - 2 - 0.998
55 - 1 - 0.999
56 - 42 - 0.958
57 - 5 - 0.995
58 - 19 - 0.981
59 - 83 - 0.917
60 - 93 - 0.907
61 - 75 - 0.925
62 - 97 - 0.903
63 - 80 - 0.92
64 - 116 - 0.884
65 - 146 - 0.854
66 - 113 - 0.887
67 - 77 - 0.923
68 - 55 - 0.945
69 - 36 - 0.964
70 - 22 - 0.978
71 - 14 - 0.986
72 - 94 - 0.906
73 - 129 - 0.871
74 - 84 - 0.916
75 - 61 - 0.939
76 - 62 - 0.938
77 - 41 - 0.959
78 - 23 - 0.977
79 - 3 - 0.997
80 - 11 - 0.989
81 - 41 - 0.959
82 - 11 - 0.989
83 - 0 - 1.0
84 - 41 - 0.959
85 - 0 - 1.0
86 - 1 - 0.999
87 - 21 - 0.979
88 - 15 - 0.985
89 - 35 - 0.965
90 - 80 - 0.92
91 - 72 - 0.928
92 - 108 - 0.892
93 - 129 - 0.871
94 - 115 - 0.885
95 - 82 - 0.918
96 - 34 - 0.966
97 - 46 - 0.954
98 - 0 - 1.0
99 - 6 - 0.994
100 - 32 - 0.968
101 - 0 - 1.0
102 - 14 - 0.986
103 - 8 - 0.992
104 - 76 - 0.924
105 - 62 - 0.938
106 - 88 - 0.912
107 - 75 - 0.925
108 - 53 - 0.947
109 - 0 - 1.0
110 - 0 - 1.0
111 - 0 - 1.0
112 - 3 - 0.997
113 - 1 - 0.999
114 - 50 - 0.95
115 - 93 - 0.907
116 - 107 - 0.893
117 - 138 - 0.862
118 - 158 - 0.842
119 - 178 - 0.822
120 - 162 - 0.838
121 - 124 - 0.876
122 - 80 - 0.92
123 - 106 - 0.894
124 - 167 - 0.833
125 - 181 - 0.819
126 - 144 - 0.856
127 - 82 - 0.918
128 - 86 - 0.914
129 - 104 - 0.896
130 - 63 - 0.937
131 - 33 - 0.967
132 - 51 - 0.949
133 - 84 - 0.916
134 - 56 - 0.944
135 - 76 - 0.924
136 - 54 - 0.946
137 - 111 - 0.889
138 - 140 - 0.86
139 - 97 - 0.903
140 - 70 - 0.93
141 - 61 - 0.939
142 - 37 - 0.963
143 - 62 - 0.938
144 - 6 - 0.994
145 - 55 - 0.945
146 - 89 - 0.911
147 - 67 - 0.933
148 - 64 - 0.936
149 - 64 - 0.936
150 - 46 - 0.954
151 - 62 - 0.938
152 - 56 - 0.944
153 - 52 - 0.948
154 - 59 - 0.941
155 - 89 - 0.911
156 - 81 - 0.919
157 - 66 - 0.934
158 - 67 - 0.933
159 - 73 - 0.927
160 - 53 - 0.947
161 - 28 - 0.972
162 - 11 - 0.989
163 - 21 - 0.979
164 - 89 - 0.911
165 - 64 - 0.936
166 - 55 - 0.945
167 - 75 - 0.925
168 - 66 - 0.934
169 - 56 - 0.944
170 - 95 - 0.905
171 - 73 - 0.927
172 - 95 - 0.905
173 - 113 - 0.887
174 - 111 - 0.889
175 - 146 - 0.854
176 - 163 - 0.837
177 - 99 - 0.901
178 - 50 - 0.95
179 - 43 - 0.957
180 - 110 - 0.89
