### DETECTION RATE IS:       0.0
### NO. DET MALICIOUS USERS: 0
### NO. ALL MALICIOUS USERS: 293
### 
### FALSE POSITIVE RATE IS:           0.0
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             0
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 2514
###
DAY - AV ROOMS - OCCUPANCY %
1 - 1000 - 0.0
2 - 990 - 0.01
3 - 928 - 0.072
4 - 884 - 0.116
5 - 821 - 0.179
6 - 752 - 0.248
7 - 657 - 0.343
8 - 608 - 0.392
9 - 560 - 0.44
10 - 488 - 0.512
11 - 403 - 0.597
12 - 348 - 0.652
13 - 324 - 0.676
14 - 303 - 0.697
15 - 283 - 0.717
16 - 257 - 0.743
17 - 261 - 0.739
18 - 263 - 0.737
19 - 275 - 0.725
20 - 277 - 0.723
21 - 359 - 0.641
22 - 304 - 0.696
23 - 320 - 0.68
24 - 302 - 0.698
25 - 299 - 0.701
26 - 265 - 0.735
27 - 286 - 0.714
28 - 280 - 0.72
29 - 262 - 0.738
30 - 270 - 0.73
31 - 289 - 0.711
32 - 320 - 0.68
33 - 313 - 0.687
34 - 335 - 0.665
35 - 333 - 0.667
36 - 330 - 0.67
37 - 272 - 0.728
38 - 288 - 0.712
39 - 290 - 0.71
40 - 309 - 0.691
41 - 336 - 0.664
42 - 349 - 0.651
43 - 378 - 0.622
44 - 388 - 0.612
45 - 401 - 0.599
46 - 341 - 0.659
47 - 323 - 0.677
48 - 303 - 0.697
49 - 290 - 0.71
50 - 275 - 0.725
51 - 325 - 0.675
52 - 334 - 0.666
53 - 331 - 0.669
54 - 359 - 0.641
55 - 371 - 0.629
56 - 376 - 0.624
57 - 364 - 0.636
58 - 359 - 0.641
59 - 398 - 0.602
60 - 386 - 0.614
61 - 404 - 0.596
62 - 394 - 0.606
63 - 345 - 0.655
64 - 351 - 0.649
65 - 371 - 0.629
66 - 377 - 0.623
67 - 396 - 0.604
68 - 415 - 0.585
69 - 430 - 0.57
70 - 404 - 0.596
71 - 398 - 0.602
72 - 389 - 0.611
73 - 359 - 0.641
74 - 355 - 0.645
75 - 379 - 0.621
76 - 404 - 0.596
77 - 428 - 0.572
78 - 421 - 0.579
79 - 397 - 0.603
80 - 361 - 0.639
81 - 394 - 0.606
82 - 360 - 0.64
83 - 362 - 0.638
84 - 373 - 0.627
85 - 355 - 0.645
86 - 352 - 0.648
87 - 372 - 0.628
88 - 355 - 0.645
89 - 398 - 0.602
90 - 441 - 0.559
91 - 450 - 0.55
92 - 433 - 0.567
93 - 400 - 0.6
94 - 428 - 0.572
95 - 391 - 0.609
96 - 349 - 0.651
97 - 369 - 0.631
98 - 359 - 0.641
99 - 388 - 0.612
100 - 375 - 0.625
101 - 372 - 0.628
102 - 398 - 0.602
103 - 400 - 0.6
104 - 402 - 0.598
105 - 409 - 0.591
106 - 403 - 0.597
107 - 381 - 0.619
108 - 392 - 0.608
109 - 385 - 0.615
110 - 384 - 0.616
111 - 330 - 0.67
112 - 327 - 0.673
113 - 317 - 0.683
114 - 324 - 0.676
115 - 381 - 0.619
116 - 381 - 0.619
117 - 385 - 0.615
118 - 374 - 0.626
119 - 356 - 0.644
120 - 414 - 0.586
121 - 428 - 0.572
122 - 418 - 0.582
123 - 390 - 0.61
124 - 373 - 0.627
125 - 378 - 0.622
126 - 388 - 0.612
127 - 365 - 0.635
128 - 378 - 0.622
129 - 399 - 0.601
130 - 367 - 0.633
131 - 339 - 0.661
132 - 347 - 0.653
133 - 363 - 0.637
134 - 355 - 0.645
135 - 341 - 0.659
136 - 401 - 0.599
137 - 428 - 0.572
138 - 362 - 0.638
139 - 354 - 0.646
140 - 382 - 0.618
141 - 415 - 0.585
142 - 394 - 0.606
143 - 380 - 0.62
144 - 397 - 0.603
145 - 422 - 0.578
146 - 417 - 0.583
147 - 415 - 0.585
148 - 395 - 0.605
149 - 404 - 0.596
150 - 409 - 0.591
151 - 409 - 0.591
152 - 363 - 0.637
153 - 341 - 0.659
154 - 365 - 0.635
155 - 362 - 0.638
156 - 363 - 0.637
157 - 388 - 0.612
158 - 378 - 0.622
159 - 385 - 0.615
160 - 369 - 0.631
161 - 343 - 0.657
162 - 335 - 0.665
163 - 363 - 0.637
164 - 371 - 0.629
165 - 409 - 0.591
166 - 411 - 0.589
167 - 431 - 0.569
168 - 439 - 0.561
169 - 412 - 0.588
170 - 410 - 0.59
171 - 403 - 0.597
172 - 406 - 0.594
173 - 418 - 0.582
174 - 394 - 0.606
175 - 395 - 0.605
176 - 411 - 0.589
177 - 412 - 0.588
178 - 405 - 0.595
179 - 380 - 0.62
180 - 417 - 0.583
