### DETECTION RATE IS:       0.9439655
### NO. DET MALICIOUS USERS: 219
### NO. ALL MALICIOUS USERS: 232
### 
### FALSE POSITIVE RATE IS:           0.059972107
### FALSE POSITIVES (WORST CASE)      0.0027894003
### NO. WRONGLY DET USERS             43
### NO. WRONGLY DET USERS (WORST CASE)2
### NO. BENIGN USERS:                 717
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 189 - 0.055
3 - 171 - 0.145
4 - 135 - 0.325
5 - 109 - 0.455
6 - 81 - 0.595
7 - 62 - 0.69
8 - 32 - 0.84
9 - 23 - 0.885
10 - 26 - 0.87
11 - 35 - 0.825
12 - 45 - 0.775
13 - 26 - 0.87
14 - 38 - 0.81
15 - 51 - 0.745
16 - 42 - 0.79
17 - 42 - 0.79
18 - 46 - 0.77
19 - 49 - 0.755
20 - 49 - 0.755
21 - 35 - 0.825
22 - 46 - 0.77
23 - 61 - 0.695
24 - 67 - 0.665
25 - 69 - 0.655
26 - 51 - 0.745
27 - 34 - 0.83
28 - 45 - 0.775
29 - 54 - 0.73
30 - 76 - 0.62
31 - 83 - 0.585
32 - 58 - 0.71
33 - 61 - 0.695
34 - 43 - 0.785
35 - 25 - 0.875
36 - 38 - 0.81
37 - 27 - 0.865
38 - 41 - 0.795
39 - 41 - 0.795
40 - 42 - 0.79
41 - 33 - 0.835
42 - 18 - 0.91
43 - 31 - 0.845
44 - 30 - 0.85
45 - 23 - 0.885
46 - 32 - 0.84
47 - 23 - 0.885
48 - 44 - 0.78
49 - 33 - 0.835
50 - 46 - 0.77
51 - 55 - 0.725
52 - 42 - 0.79
53 - 41 - 0.795
54 - 47 - 0.765
55 - 46 - 0.77
56 - 31 - 0.845
57 - 28 - 0.86
58 - 35 - 0.825
59 - 39 - 0.805
60 - 15 - 0.925
