### DETECTION RATE IS:       0.96995705
### NO. DET MALICIOUS USERS: 226
### NO. ALL MALICIOUS USERS: 233
### 
### FALSE POSITIVE RATE IS:           0.032440055
### FALSE POSITIVES (WORST CASE)      0.011283498
### NO. WRONGLY DET USERS             23
### NO. WRONGLY DET USERS (WORST CASE)8
### NO. BENIGN USERS:                 709
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 189 - 0.055
3 - 171 - 0.145
4 - 135 - 0.325
5 - 109 - 0.455
6 - 81 - 0.595
7 - 62 - 0.69
8 - 32 - 0.84
9 - 23 - 0.885
10 - 26 - 0.87
11 - 35 - 0.825
12 - 45 - 0.775
13 - 26 - 0.87
14 - 38 - 0.81
15 - 51 - 0.745
16 - 42 - 0.79
17 - 41 - 0.795
18 - 44 - 0.78
19 - 44 - 0.78
20 - 45 - 0.775
21 - 30 - 0.85
22 - 42 - 0.79
23 - 59 - 0.705
24 - 62 - 0.69
25 - 76 - 0.62
26 - 36 - 0.82
27 - 29 - 0.855
28 - 58 - 0.71
29 - 58 - 0.71
30 - 75 - 0.625
31 - 91 - 0.545
32 - 74 - 0.63
33 - 62 - 0.69
34 - 41 - 0.795
35 - 32 - 0.84
36 - 28 - 0.86
37 - 25 - 0.875
38 - 37 - 0.815
39 - 50 - 0.75
40 - 32 - 0.84
41 - 37 - 0.815
42 - 22 - 0.89
43 - 20 - 0.9
44 - 27 - 0.865
45 - 13 - 0.935
46 - 32 - 0.84
47 - 54 - 0.73
48 - 43 - 0.785
49 - 29 - 0.855
50 - 24 - 0.88
51 - 37 - 0.815
52 - 21 - 0.895
53 - 32 - 0.84
54 - 38 - 0.81
55 - 28 - 0.86
56 - 19 - 0.905
57 - 19 - 0.905
58 - 27 - 0.865
59 - 22 - 0.89
60 - 20 - 0.9
