### DETECTION RATE IS:       0.0
### NO. DET MALICIOUS USERS: 0
### NO. ALL MALICIOUS USERS: 267
### 
### FALSE POSITIVE RATE IS:           0.0
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             0
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 1985
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 129 - 0.355
4 - 89 - 0.555
5 - 52 - 0.74
6 - 13 - 0.935
7 - 4 - 0.98
8 - 3 - 0.985
9 - 17 - 0.915
10 - 34 - 0.83
11 - 23 - 0.885
12 - 17 - 0.915
13 - 10 - 0.95
14 - 23 - 0.885
15 - 30 - 0.85
16 - 35 - 0.825
17 - 39 - 0.805
18 - 33 - 0.835
19 - 33 - 0.835
20 - 39 - 0.805
21 - 52 - 0.74
22 - 33 - 0.835
23 - 25 - 0.875
24 - 18 - 0.91
25 - 20 - 0.9
26 - 31 - 0.845
27 - 21 - 0.895
28 - 37 - 0.815
29 - 21 - 0.895
30 - 15 - 0.925
31 - 16 - 0.92
32 - 16 - 0.92
33 - 22 - 0.89
34 - 34 - 0.83
35 - 32 - 0.84
36 - 37 - 0.815
37 - 28 - 0.86
38 - 23 - 0.885
39 - 14 - 0.93
40 - 5 - 0.975
41 - 5 - 0.975
42 - 14 - 0.93
43 - 17 - 0.915
44 - 11 - 0.945
45 - 11 - 0.945
46 - 26 - 0.87
47 - 29 - 0.855
48 - 47 - 0.765
49 - 54 - 0.73
50 - 46 - 0.77
51 - 30 - 0.85
52 - 26 - 0.87
53 - 21 - 0.895
54 - 28 - 0.86
55 - 18 - 0.91
56 - 14 - 0.93
57 - 15 - 0.925
58 - 17 - 0.915
59 - 31 - 0.845
60 - 33 - 0.835
61 - 22 - 0.89
62 - 15 - 0.925
63 - 21 - 0.895
64 - 40 - 0.8
65 - 33 - 0.835
66 - 28 - 0.86
67 - 20 - 0.9
68 - 19 - 0.905
69 - 22 - 0.89
70 - 24 - 0.88
71 - 14 - 0.93
72 - 23 - 0.885
73 - 28 - 0.86
74 - 42 - 0.79
75 - 35 - 0.825
76 - 42 - 0.79
77 - 40 - 0.8
78 - 45 - 0.775
79 - 49 - 0.755
80 - 39 - 0.805
81 - 40 - 0.8
82 - 31 - 0.845
83 - 11 - 0.945
84 - 31 - 0.845
85 - 40 - 0.8
86 - 35 - 0.825
87 - 22 - 0.89
88 - 12 - 0.94
89 - 13 - 0.935
90 - 21 - 0.895
91 - 22 - 0.89
92 - 32 - 0.84
93 - 12 - 0.94
94 - 15 - 0.925
95 - 18 - 0.91
96 - 18 - 0.91
97 - 25 - 0.875
98 - 35 - 0.825
99 - 36 - 0.82
100 - 51 - 0.745
101 - 40 - 0.8
102 - 28 - 0.86
103 - 27 - 0.865
104 - 41 - 0.795
105 - 35 - 0.825
106 - 28 - 0.86
107 - 23 - 0.885
108 - 27 - 0.865
109 - 20 - 0.9
110 - 18 - 0.91
111 - 30 - 0.85
112 - 33 - 0.835
113 - 17 - 0.915
114 - 15 - 0.925
115 - 19 - 0.905
116 - 21 - 0.895
117 - 46 - 0.77
118 - 27 - 0.865
119 - 24 - 0.88
120 - 23 - 0.885
121 - 27 - 0.865
122 - 28 - 0.86
123 - 19 - 0.905
124 - 27 - 0.865
125 - 15 - 0.925
126 - 15 - 0.925
127 - 30 - 0.85
128 - 38 - 0.81
129 - 41 - 0.795
130 - 40 - 0.8
131 - 13 - 0.935
132 - 20 - 0.9
133 - 29 - 0.855
134 - 17 - 0.915
135 - 14 - 0.93
136 - 11 - 0.945
137 - 15 - 0.925
138 - 13 - 0.935
139 - 23 - 0.885
140 - 27 - 0.865
141 - 35 - 0.825
142 - 45 - 0.775
143 - 37 - 0.815
144 - 48 - 0.76
145 - 28 - 0.86
146 - 22 - 0.89
147 - 22 - 0.89
148 - 40 - 0.8
149 - 32 - 0.84
150 - 16 - 0.92
151 - 28 - 0.86
152 - 34 - 0.83
153 - 22 - 0.89
154 - 27 - 0.865
155 - 27 - 0.865
156 - 23 - 0.885
157 - 38 - 0.81
158 - 16 - 0.92
159 - 17 - 0.915
160 - 24 - 0.88
161 - 26 - 0.87
162 - 33 - 0.835
163 - 29 - 0.855
164 - 37 - 0.815
165 - 28 - 0.86
166 - 49 - 0.755
167 - 27 - 0.865
168 - 20 - 0.9
169 - 22 - 0.89
170 - 40 - 0.8
171 - 30 - 0.85
172 - 25 - 0.875
173 - 36 - 0.82
174 - 46 - 0.77
175 - 41 - 0.795
176 - 9 - 0.955
177 - 9 - 0.955
178 - 34 - 0.83
179 - 40 - 0.8
180 - 33 - 0.835

### BENCHMARK FOR Booking.setCancel GLOBAL
### AVG GLOBAL:      1520380.861341853
### MIN GLOBAL:      867810
### MAX GLOBAL:      18723383
### LEN GLOBAL:      1565
### AVG METHOD CALL: 215824.4856230032
### MIN METHOD CALL: 28649
### MAX METHOD CALL: 616685
### LEN METHOD CALL: 1565
### AVG ASPECT:      5126.920127795527
### MIN ASPECT:      1779
### MAX ASPECT:      143968
### LEN ASPECT:      1565
