### DETECTION RATE IS:       0.0
### NO. DET MALICIOUS USERS: 0
### NO. ALL MALICIOUS USERS: 277
### 
### FALSE POSITIVE RATE IS:           0.0
### FALSE POSITIVES (WORST CASE)      0.0
### NO. WRONGLY DET USERS             0
### NO. WRONGLY DET USERS (WORST CASE)0
### NO. BENIGN USERS:                 2025
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 190 - 0.05
3 - 128 - 0.36
4 - 81 - 0.595
5 - 52 - 0.74
6 - 13 - 0.935
7 - 1 - 0.995
8 - 2 - 0.99
9 - 0 - 1.0
10 - 8 - 0.96
11 - 2 - 0.99
12 - 0 - 1.0
13 - 0 - 1.0
14 - 3 - 0.985
15 - 9 - 0.955
16 - 1 - 0.995
17 - 1 - 0.995
18 - 2 - 0.99
19 - 6 - 0.97
20 - 1 - 0.995
21 - 0 - 1.0
22 - 0 - 1.0
23 - 0 - 1.0
24 - 0 - 1.0
25 - 0 - 1.0
26 - 1 - 0.995
27 - 0 - 1.0
28 - 0 - 1.0
29 - 1 - 0.995
30 - 3 - 0.985
31 - 0 - 1.0
32 - 3 - 0.985
33 - 1 - 0.995
34 - 1 - 0.995
35 - 0 - 1.0
36 - 0 - 1.0
37 - 0 - 1.0
38 - 7 - 0.965
39 - 0 - 1.0
40 - 2 - 0.99
41 - 10 - 0.95
42 - 3 - 0.985
43 - 0 - 1.0
44 - 0 - 1.0
45 - 2 - 0.99
46 - 20 - 0.9
47 - 5 - 0.975
48 - 4 - 0.98
49 - 6 - 0.97
50 - 1 - 0.995
51 - 0 - 1.0
52 - 0 - 1.0
53 - 2 - 0.99
54 - 1 - 0.995
55 - 1 - 0.995
56 - 3 - 0.985
57 - 5 - 0.975
58 - 13 - 0.935
59 - 5 - 0.975
60 - 11 - 0.945
61 - 5 - 0.975
62 - 4 - 0.98
63 - 0 - 1.0
64 - 4 - 0.98
65 - 2 - 0.99
66 - 11 - 0.945
67 - 14 - 0.93
68 - 27 - 0.865
69 - 18 - 0.91
70 - 1 - 0.995
71 - 0 - 1.0
72 - 5 - 0.975
73 - 25 - 0.875
74 - 21 - 0.895
75 - 0 - 1.0
76 - 4 - 0.98
77 - 5 - 0.975
78 - 2 - 0.99
79 - 4 - 0.98
80 - 0 - 1.0
81 - 3 - 0.985
82 - 6 - 0.97
83 - 19 - 0.905
84 - 12 - 0.94
85 - 16 - 0.92
86 - 0 - 1.0
87 - 0 - 1.0
88 - 21 - 0.895
89 - 29 - 0.855
90 - 15 - 0.925
91 - 28 - 0.86
92 - 16 - 0.92
93 - 15 - 0.925
94 - 13 - 0.935
95 - 33 - 0.835
96 - 9 - 0.955
97 - 13 - 0.935
98 - 26 - 0.87
99 - 34 - 0.83
100 - 37 - 0.815
101 - 21 - 0.895
102 - 22 - 0.89
103 - 9 - 0.955
104 - 5 - 0.975
105 - 14 - 0.93
106 - 22 - 0.89
107 - 13 - 0.935
108 - 11 - 0.945
109 - 0 - 1.0
110 - 2 - 0.99
111 - 6 - 0.97
112 - 6 - 0.97
113 - 0 - 1.0
114 - 6 - 0.97
115 - 15 - 0.925
116 - 2 - 0.99
117 - 16 - 0.92
118 - 19 - 0.905
119 - 25 - 0.875
120 - 26 - 0.87
121 - 15 - 0.925
122 - 16 - 0.92
123 - 0 - 1.0
124 - 5 - 0.975
125 - 6 - 0.97
126 - 1 - 0.995
127 - 0 - 1.0
128 - 4 - 0.98
129 - 18 - 0.91
130 - 5 - 0.975
131 - 3 - 0.985
132 - 4 - 0.98
133 - 15 - 0.925
134 - 35 - 0.825
135 - 14 - 0.93
136 - 3 - 0.985
137 - 0 - 1.0
138 - 0 - 1.0
139 - 7 - 0.965
140 - 16 - 0.92
141 - 8 - 0.96
142 - 21 - 0.895
143 - 7 - 0.965
144 - 9 - 0.955
145 - 0 - 1.0
146 - 0 - 1.0
147 - 0 - 1.0
148 - 13 - 0.935
149 - 10 - 0.95
150 - 0 - 1.0
151 - 0 - 1.0
152 - 0 - 1.0
153 - 0 - 1.0
154 - 20 - 0.9
155 - 23 - 0.885
156 - 17 - 0.915
157 - 0 - 1.0
158 - 18 - 0.91
159 - 13 - 0.935
160 - 27 - 0.865
161 - 13 - 0.935
162 - 3 - 0.985
163 - 0 - 1.0
164 - 13 - 0.935
165 - 8 - 0.96
166 - 0 - 1.0
167 - 2 - 0.99
168 - 0 - 1.0
169 - 26 - 0.87
170 - 21 - 0.895
171 - 13 - 0.935
172 - 6 - 0.97
173 - 2 - 0.99
174 - 1 - 0.995
175 - 6 - 0.97
176 - 19 - 0.905
177 - 23 - 0.885
178 - 25 - 0.875
179 - 27 - 0.865
180 - 14 - 0.93

### BENCHMARK FOR Booking.setCancel GLOBAL
### AVG GLOBAL:      2499180.5414529913
### MIN GLOBAL:      951947
### MAX GLOBAL:      35165271
### LEN GLOBAL:      2340
### AVG METHOD CALL: 452854.8534188034
### MIN METHOD CALL: 34163
### MAX METHOD CALL: 15508585
### LEN METHOD CALL: 2340
### AVG ASPECT:      6562.674358974359
### MIN ASPECT:      1640
### MAX ASPECT:      1052311
### LEN ASPECT:      2340
